smpl_date,Site,Plot_number,plot_code,sub_plot,chamber,d_chamber,collar_number,chamber_names,air_temp_c,atmp_Kpa,soil_temp_c,soil_moisture,ave_pH,water_height_above_soil,flooded_chamber,flooded_site,more_than_2_reps,flux_notes,site_comments,Final_CO2_file_status,Final_CH4_file_status,start_date_time,start_fDOY,CH4_mean,CH4_rsquared,CO2_mean,CO2_rsquared,CH4_exp_rsquared,CO2_exp_rsquared,CH4_finalflux_mgC_per_hr_m2,Final_CH4_flux_category,CO2_finalflux_mgC_per_hr_m2,Final_CO2_flux_category
2023-05-05,QUI,2,QUI-02,5,B1,5-B1,16,QUI-02_5_16_1,28.2,101.2,26,NA,3.72,1.7,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T05:08:19Z,124.42244212965647,5.605334209115282,0.9988461819315845,550.5004273504273,0.9843801396448739,0.9992504882690582,0.9926401077021594,0.2382044735013633,Linear_field,15.236908367416637,Exponential_field
2023-05-05,QUI,2,QUI-02,5,B2,5-B2,16,QUI-02_5_16_2,28.2,101.2,26,NA,3.72,1.7,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T05:17:00Z,124.42847222225396,4.34711894160584,0.9984653577109722,539.5333333333333,0.9492970014028964,0.9996692450821183,0.9743298032194878,0.2499134293547129,Linear_field,14.830049757447293,Linear_field
2023-05-05,QUI,2,QUI-02,6,A1,6-A1,17,QUI-02_6_17_1,27.8,100.67,25.9,NA,3.86,4.5,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T05:29:59Z,124.43748842595255,71.00382945454545,0.9998630178499165,600.510824742268,0.9954092705846469,0.9999325973322899,0.9987794205650605,6.2905128449975996,Linear_field,38.23695289668267,Linear_field
2023-05-05,QUI,2,QUI-02,6,A2,6-A2,17,QUI-02_6_17_2,27.8,100.67,25.9,NA,3.86,4.5,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T05:36:39Z,124.44211805558211,68.76482810218978,0.9998424571427215,575.8749326145553,0.9974932319416305,0.9999256049206022,0.998739779418421,6.722048546973616,Linear_field,36.816701236895206,Linear_field
2023-05-05,QUI,2,QUI-02,6,B1,6-B1,18,QUI-02_6_18_1,27.8,100.67,26,NA,4.14,5.4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T05:49:59Z,124.45137731484124,30.321039416058394,0.9939069243543031,584.4795698924731,0.995750234985302,0.999455692118835,0.998405875653043,9.27987387426991,Exponential_field,34.49692054724902,Linear_field
2023-05-05,QUI,2,QUI-02,6,B2,6-B2,18,QUI-02_6_18_2,27.8,100.67,26,NA,4.14,5.4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T05:57:00Z,124.45625000003133,64.09993220338983,0.9996852486641713,599.8869806094183,0.9942050148691793,0.9992127089451691,0.998393950832162,3.526438323931365,Linear_field,32.634344957192596,Linear_field
2023-05-05,QUI,2,QUI-02,15,A1,15-A1,27,QUI-02_15_27_1,29.1,100.65,26.1,NA,4.48,3.4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T06:11:19Z,124.46619212963924,32.182646545454546,0.9997082165512288,605.3837638376384,0.9893901233537318,0.9998498856763444,0.995258077044151,1.8602903367927373,Linear_field,26.44265108197843,Exponential_field
2023-05-05,QUI,2,QUI-02,15,A2,15-A2,27,QUI-02_15_27_2,29.1,100.65,26.1,NA,4.48,3.4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T06:17:39Z,124.47059027777073,8.249800436363637,0.9997967874631282,543.1630718954249,0.9911377561644171,0.9999645760755769,0.9966053650138148,2.5978264701014377,Linear_field,29.695100645714064,Exponential_field
2023-05-05,QUI,2,QUI-02,15,B1,15-B1,28,QUI-02_15_28_1,29.1,100.65,26.1,NA,4.38,3.7,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T06:25:59Z,124.47637731480768,55.132566480446926,0.9608199674961837,562.6753351206435,0.9916625241601393,0.9996981303145471,0.9979808603088781,15.726471411553474,Exponential_field,36.46689166218577,Exponential_field
2023-05-05,QUI,2,QUI-02,15,B2,15-B2,28,QUI-02_15_28_2,29.1,100.65,26.1,NA,4.38,3.7,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T06:32:39Z,124.48100694443724,16.03780737327189,0.9731594624059002,577.2565333333333,0.9975563594709435,0.9997549548210398,0.999010898177272,4.710024244477811,Exponential_field,31.112817225494915,Linear_field
2023-05-05,QUI,2,QUI-02,7,A1,7-A1,19,QUI-02_7_19_1,28.8,100.3,26.1,NA,4.26,0.4,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T06:47:59Z,124.49165509260183,12.861864456521738,0.9994643836187301,546.238144329897,0.9963478743801155,0.9997678081873421,0.9988624355982743,2.8094420886459472,Linear_field,40.032863421504146,Linear_field
2023-05-05,QUI,2,QUI-02,7,A2,7-A2,19,QUI-02_7_19_2,28.8,100.3,26.1,NA,4.26,0.4,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T06:54:19Z,124.49605324073332,10.581114255319148,0.9871791625312364,550.7470422535212,0.9965175087775878,0.9943729738088946,0.998216255382433,6.156239248199592,Linear_field,35.65982052784956,Linear_field
2023-05-05,QUI,2,QUI-02,7,B1,7-B1,20,QUI-02_7_20_1,28.8,100.3,26.2,NA,3.92,0.4,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T07:01:19Z,124.50091435186096,105.38281490909091,0.9994498385434242,722.227731092437,0.9988925876091947,0.999965947060254,0.9997605961056235,8.39137522963266,Linear_field,115.29665420694619,Linear_field
2023-05-05,QUI,2,QUI-02,7,B2,7-B2,20,QUI-02_7_20_2,28.8,100.3,26.2,NA,3.92,0.4,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T07:07:59Z,124.50554398149052,47.15569908675799,0.9998833576128013,724.117697228145,0.9988429693918953,0.9999399323061794,0.9997657224025313,11.69750628663755,Linear_field,112.03432169423901,Linear_field
2023-05-05,QUI,2,QUI-02,13,A1,13-A1,25,QUI-02_13_25_1,29.6,100.47,26,NA,4.36,3.4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T07:20:40Z,124.51435185181595,17.021094525547444,0.9997943971543415,568.7136222910217,0.961755871525845,0.9999892872394417,0.9806787472789033,6.899999026958955,Linear_field,38.328469587160804,Linear_field
2023-05-05,QUI,2,QUI-02,13,A2,13-A2,25,QUI-02_13_25_2,29.6,100.47,26,NA,4.36,3.4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T07:29:59Z,124.52082175928467,13.551609854014599,0.9998834170473184,545.0002985074627,0.9962527042115668,0.9999871379200482,0.998341781502981,7.132299005923041,Linear_field,39.56386041421857,Linear_field
2023-05-05,QUI,2,QUI-02,13,B1,13-B1,26,QUI-02_13_26_1,29.6,100.47,26.1,NA,4.38,2.1,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T07:36:39Z,124.52545138891423,303.1148686868687,0.11933117140953409,683.4051630434783,0.9940535351595108,0.38746782235818367,0.9978312155518508,NA,Exclude - rsq below limit of 0.85,44.18105785756064,Linear_field
2023-05-05,QUI,2,QUI-02,13,B2,13-B2,26,QUI-02_13_26_2,29.6,100.47,26.1,NA,4.38,2.1,Possibly,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T07:43:19Z,124.5300810185438,81.23580436363636,0.9232904697244627,567.3825966850828,0.9968882550284451,0.9608598169274949,0.9986735073977222,7.826074392855163,Linear_field,46.31281245921851,Linear_field
