FECHA: 	06/08/2024	06/10/2024							Gases del suelo QUI-02N																	
(Si se hacen mediciones todos los dias escribir todas las fechas en cada celda)																										
Colectores de datos:  		"Jesus Marin, Bella, Paulo, Sasha"																								
Inundado?:	Y																									
																										
FECHA:	Miniplot	Cámara	Archivo Licor	Hora de cerrar la cámara	Hora de abrir la cámara	Ambiente		Suelo		pH del suelo					"Altura de cámara (cm)                           (entre el borde de la cámara y base interior en el suelo, hojarasca o agua)"				Promedio de altura de cámara  (cm)	Nivel de agua en el suelo (cm)  (_/+)	Camara flotante (Yes) o (No)	Altura de la camara flotante (del agua al techo)	Notas			
07/06/2024	16C	A1	16C-A	13:50:00	13:56:00	24.2	100.56	23.4		4.7	4.6	4.6	4.5		7	6.4	6.5	7.5		7.1	NO					
07/06/2024	16C	B2	16C-B	13:58:49	14:04:50																					
07/06/2024	7C	A1	7C-A	14:52:46	14:58:46	24.5	100.49	23.7		3.8	4	4	4.4		6.4	8.2	4.8	7.7		-5	NO					
07/06/2024	7C	B2	7C-B	15:00:40	15:06:10																					
07/06/2024	7D	A1	7D-A	15:11:14	15:17:46	25.3	100.48	23.6		4.9	4.8	4.8	5		9.6	9.7	9	9		10.9	NO					
07/06/2024	7D	B2	7D-B	15:20:55	15:26:55																					
08/06/2024	1B	A1	1B-A	9:32:39	9:40:07	"26,1"	"101,02"	"25,8"		5.2	5.2	5.1	5.2							2.6	Y	15	"1 meter away from 1A, it had to be relocated because it was in the pathway"			
08/06/2024	1B	B2	1B-B	9:47:17	9:52:41																	15				
08/06/2024	1A2	A1	1A2-A	9:58:00	10:03:32	25.4	101.02	25.5		5	5.1	5.1	5.2							5.8	Y	15				
08/06/2024	1A2	B2	1A2-B	10:04:30	10:10:15																	15				
08/06/2024	1A	A1	1A-A	10:17:58	10:24:10	25.4	101.02	25.5		5	5.1	5.1	5.2							5.8	Y	15				
08/06/2024	1A	B2	1A-B	10:25:20	10:32:05																	15				
08/06/2024	4A	A1	4A-A	10:56:40	11:01:40	25.4	101.1	25.4		5.1	5	4.7	4.8		4.9	4.6	4.9	4.2		5.2	NO					
08/06/2024	4A	B2	4A-B	11:03:10	11:08:10																					
08/06/2024	7A	A1	7A-A	11:12:20	11:17:20	26.1	101.1	25.6		5	5	5.2	4.4		5	5	4	3.8		3.8	NO					
08/06/2024	7A	B2	7A-B	11:19:10	11:24:10																					
08/06/2024	10A	A1	10A-A	11:35:10	11:40:10	26.1	101.1	26.2		5.1	5.2	5.2	5.2		4.8	4.8	3.8	3.5		4.6	NO					
08/06/2024	10A	B2	10A-B	11:41:20	11:46:20																					
08/06/2024	13A	A1	13A-A	11:48:40	11:53:40		101.1	26.5		4.7	4.9	5.3	5		4	3	3.5	4.5		4.6	NO					
08/06/2024	13A	B2	13A-B	11:55:40	12:00:40																					
08/06/2024	16A	A1	16A-A	12:05:00	12:10:00		101.1	26.4		5	5	4.9	4.7		4	4.9	3.9	4.8		2.4	NO					
08/06/2024	16A	B2	16A-B	12:12:10	12:17:10																					
08/06/2024	19A	A1	19A-A	12:22:10	12:25:18		101.1	26.8		5.1	5	5	5							9.5	Y	14				
08/06/2024	19A	B2	19A-B	12:29:00	12:34:00																	14				
08/06/2024	22A	A1	22A-A	12:37:50	12:41:46		101.1	26.6		4.9	4.9	5	5							8.6	Y	14				
08/06/2024	22A	B2	22A-B	12:44:50	12:49:50																	14				
08/06/2024	25A	A1	25A-A	13:02:50	13:07:50		101.1	26.4		5	4	5	5.9							6.9	Y	14				
08/06/2024	25A	B2	25A-B	13:09:10	13:14:10																	14				
08/06/2024	46	A1	46-A	13:20:40	13:25:40		101.24	26.4		5	5	4.7	4.8							5.7	Y	11				
08/06/2024	46	B2	46-B	13:27:00	13:32:00																	11				
08/06/2024	N6	A1	N6-A	13:45:00	13:50:00	27.9	101.47	27.6		5	5.1	4.9	5							15.4	Y	14				
08/06/2024	N6	B2	N6-B	13:51:10	13:56:10																	14				
08/06/2024	N10	A1	N10-A	13:59:50	14:04:50	26.9	101.47	27.4		5.1	5.1	5	5							16	Y	14				
08/06/2024	N10	B2	N10-B	14:06:00	14:11:00																	14				
09/06/2024	4C	A1	4C-A	9:43:50	9:48:30 AM	24.2	100.37	23.5		5.1	5.2	4.9	5.1	5						5.1	Y	14.1				
09/06/2024	4C	B2	4C-B	9:50:20	9:55:20																	14.1				
09/06/2024	7B	A1	7B-A	10:00:20	10:05:20	24	100.39	23.4		5.2	5.1	5.1	4.9	4.9						3.7	Y	14				
09/06/2024	7B	B2	7B-B	10:06:50	10:11:50																	14				
09/06/2024	1C	A1	1C-A	10:14:40	10:19:40	24.7	100.87	23.4		5.2	5.2	5.2	5.3	5.2						6.9	Y	14.4				
09/06/2024	1C	B2	1C-B	10:21:00	10:26:00																	14.4				
09/06/2024	44	A1	44-A	10:30:10	10:35:10	25.7	101.27	23.4		5.2	5.2	5.2	5.2	5.3						5.3	Y	14.1				
09/06/2024	44	B2	44-B	10:36:40	10:41:40																	14				
09/06/2024	4B	A1	4B-A	10:48:40	10:53:40	24.9	101.08	23.4		5.2	5.3	5.2	5.2	5						2.8	Y	13.8				
09/06/2024	4B	B2	4B-B	10:55:00	11:00:00																	14.4				
09/06/2024	30	A1	30-A	11:04:40	11:09:40	25	100.83	23.6		5.3	5.2	5.3	5.3	5.3						5.5	Y	14.6				
09/06/2024	30	B2	30-B	11:11:00	11:16:00																	14.4				
09/06/2024	31	A1	31-A	11:19:40	11:24:40	26	100.98	23.5		5.2	5.2	5.3	5.2	5.2						5.8	Y	14.1				
09/06/2024	31	B2	31-B	11:27:00	11:32:00																	14.4				
09/06/2024	N2	A1	N2-A	11:36:20	11:41:20	25.5	100.92	23.3		5.1	5.2	5.1	5.2	5.1						6.5	Y	14.4				
09/06/2024	N2	B2	N2-B	11:43:40	11:48:40																	14.2				
09/06/2024	N1	A1	N1-A	11:50:20	11:55:20	24.8	100.79	23.4		5.1	5.2	5.2	5.3	5.3						5.0	Y	14.3				
09/06/2024	N1	B2	N1-B	11:57:20	12:02:20																	14.2				
09/06/2024	N3	A1	N3-A	12:05:40	12:10:40	25	 100.74   	23.5		5.1	5.2	5.2	5.3	5.3						5.3	Y	14.4				
09/06/2024	N3	B2	N3-B	12:12:20	12:16:20																	14.4				
09/06/2024	10C	A1	10C-A	12:25:20	12:30:20	25	 100.92   	23.5		5.2	5.3	5.3	5.2	5.3						5.9	Y	14.4				
09/06/2024	10C	B2	10C-B	12:31:40	12:36:40																	14.2				
09/06/2024	10B	A1	10B-A	12:48:20	12:53:20	26.2	 100.72   			5.2	5.2	5.1	5.2	5.2						6.2	Y	14.5				
09/06/2024	10B	B2	10B-B	12:55:00	13:00:00																	14.5				
09/06/2024	34	A1	34-A	13:12:20	13:17:20	25.8	 100.66   	23.6		5.2	5.1	5.2	5.2	5.2						8.4	Y	14.5				
09/06/2024	34	B2	34-B	13:19:30	13:24:30																	14.45				
09/06/2024	19B	A1	19B-A	13:35:30	13:40:30	27.5	 100.66   	23.6		5.2	5.3	5.3	5.2	5						12.3	Y	14.5				
09/06/2024	19B	B2	19B-B	13:42:00	13:47:00																	14.35				
09/06/2024	16B	A1	16B-A	14:00:00	14:05:00	25.9	 100.60   	24		5.2	5.1	5	5	4.8						13.3	Y	14.45				
09/06/2024	16B	B2	16B-B	14:06:50	14:11:50																	14.55				
09/06/2024	39	A1	39-A	14:20:30	14:25:30	25.6	 100.55   	23.7		5.1	5.2	5.1	5.2	5.2						6.2	Y	14.3				
09/06/2024	39	B2	39-B	14:25:40	14:31:00																	14.3				
10/06/2024	41	A1	41-A	9:03:11	9:08:41	24.8	 100.02   	26.7		4.7	5.1	4.8	4.6	4.6	3	5.5	2.5	4		-16.7	NO					
10/06/2024	41	B2	41-B	9:09:50	9:14:50																					
10/06/2024	19D	A1	19D-A	9:22:10	9:27:18	26.5	 100.73   	26.4		4.8	4.7	4.7	4.6	4.5						2.5	Y	11				
10/06/2024	19D	B2	19D-B	9:28:30	9:36:15																	11				
10/06/2024	22C	A1	22C-A	10:03:08	10:08:08	27.9	 100.73   	26.4		5.1	5	5.1	5.2	5.1						13.5	Y	15				
10/06/2024	22C	B2	22C-B	10:09:35	10:14:35																	15				
10/06/2024	42	A1	42-A	9:42:35	9:48:35	26.8	 100.69   	27		5	4.9	4.8	4.8	4.7						10.5	Y	14				
10/06/2024	42	B2	42-B	9:52:07	9:57:37																	13				
10/06/2024	19C	A1	19C-A	10:20:28	10:25:50	28.8	 100.65   	26.6		5	4.9	4.8	4.8	4.7						12.6	Y	11				
10/06/2024	19C	B2	19C-B	10:30:00	10:35:00																	13				
10/06/2024	22B	A1	22B-A	10:45:20	10:50:27	28.8	 100.65   	26.8		5.1	4.9	4.9	5	4.9						11.6	Y	14				
10/06/2024	22B	B2	22B-B	10:49:42	10:56:42																	14				
10/06/2024	25B	A1	25B-A	11:00:10	11:05:30	27.8	 100.63   	27.2		5	5	5	5	4.9						9.2	Y	15				
10/06/2024	25B	B2	25B-B	11:06:50	11:12:40																	16				
10/06/2024	25C	A1	25C-A	11:21:56	11:27:00	27.8	 100.63   	27.2		4.9	4.9	4.8	4.8	4.7						14.6	Y	15				
10/06/2024	25C	B2	25C-B	11:29:50	11:34:50																	15				
10/06/2024	40	A1	40-A	12:20:50	12:25:50	30.1	 100.74   	27.8		4.1	4.2	4.7	4.7	4.6	8.5	8.5	4.2	4		-15.2	NO	16				
10/06/2024	40	B2	40-B	12:28:00	12:33:30																	16				
10/06/2024	25D	A1	25D-A	14:07:55	14:12:40	27.9	 100.62   	28		5	5	5.1	5.1	5						5.7	Y	16				
10/06/2024	25D	B2	25D-B	14:15:00	14:18:52																	16				
10/06/2024	39-R	C3	39-R-C	11:41:10	11:46:35	30.1	100.74													6.2	Y	14				
10/06/2024	16A-R	C3	16A-R-C	12:42:26	12:48:40	30.1	100.74								5.5	4.5	3.5	4		2.4	NO					
10/06/2024	36-R	C3	36-R-C	12:56:00	13:01:00	30.1	100.74								6.5	6	7	7		3.5	NO					
10/06/2024	13C-R	C3	13C-R-C	13:04:30	13:09:30	30.1	100.74								4.5	4.5	5.5	4.7		-27.6	NO					
10/06/2024	10B-R	C3	10B-R-C	13:14:30	13:19:30	30.1	100.74													6.2	Y	14.5				
10/06/2024	7C-R	C3	7C-R-C	13:32:00	13:38:10	27.9	100.62								6.4	8.2	4.8	7.7		-5	NO					
10/06/2024	N2-R	C3	N2-R-C	13:41:54	13:47:08	27.9	100.62								3.5	2.5	5	5		6.5	NO					
